title,date
"Pro-Trump women's group cannot paint mural on NYC streets, judge rules",Feb 18 2021
Analysis: Exodus of Republican voters tired of Trump could push party further right,Feb 18 2021
Texas storms affecting COVID vaccine distribution: Fauci,Feb 18 2021
Factbox: What's in Biden's sweeping immigration bill being rolled out in Congress?,Feb 18 2021
"U.S. House committee will examine events in Texas after winter storm, outages: Pelosi",Feb 18 2021
White House revokes Trump order limiting climate change in federal reviews,Feb 18 2021
"U.S. life expectancy fell by one year in 2020, CDC data shows",Feb 18 2021
Former U.S. Senator Dole says he has lung cancer,Feb 18 2021
Texas ranchers scramble to keep animals alive in unusual cold,Feb 18 2021
How the battle over redistricting in 2021 could decide control of the U.S. Congress,Feb 18 2021
Thousands of 'cold-stunned' sea turtles rescued off coast of Texas,Feb 18 2021
"No electricity, no water, Texans struggle through historic cold with more dark days ahead",Feb 18 2021
Texas power consumers to pay the price of winter storm,Feb 18 2021
"U.S. faithful mark Ash Wednesday from a distance, celebrate Purim with drive-through carnivals",Feb 17 2021
Biden discusses COVID relief and infrastructure with top labor leaders,Feb 17 2021
"As Texas shivers through fourth day of outage, finger-pointing begins",Feb 17 2021
White House pushes back Biden trip to Michigan because of weather,Feb 17 2021
L.A. schools to open vaccination site specifically for school staff,Feb 17 2021
"Eight people shot near Philadelphia subway station, one critical",Feb 17 2021
"On Jersey Shore, crumbling Trump Plaza hotel is demolished",Feb 17 2021
White House says Biden supports study of slavery reparations,Feb 17 2021
"NY judge: No proof U.S. prosecutors knowingly hid evidence in Iran sanctions case, despite misconduct",Feb 17 2021
"Migrants in Mexican camp brave icy nights, chance to enter U.S. nears",Feb 17 2021
U.S. conservative radio provocateur and Trump ally Rush Limbaugh dies,Feb 17 2021
"Share of U.S. workers holding multiple jobs is rising, new Census report shows",Feb 17 2021
Freak cold in Texas has scientists discussing whether climate change is to blame,Feb 17 2021
Bay Area exodus leading edge of pandemic housing reshuffle,Feb 17 2021
"Texas deep freeze leaves millions without power, 21 dead",Feb 17 2021
"Biden to boost funds for COVID-19 tests in schools, shelters: White House",Feb 17 2021
Whitey Bulger's FBI handler to be released from prison due to cancer,Feb 17 2021
New York attorney general sues Amazon over COVID-19 shortfalls,Feb 17 2021
U.S. court dismisses case against Turkey's Halkbank by victims of Iran-linked attacks,Feb 17 2021
Explainer: Texas's one-of-a-kind power system raises questions during price spike,Feb 17 2021
Trump lashes out at McConnell in deepening feud between top Republicans,Feb 17 2021
Charge dropped against woman who made false claim to cops about Black man in Central Park,Feb 17 2021
"With Trump's impeachment trial over, Biden pushes his agenda in televised town hall",Feb 16 2021
"Biden suggests more police funding, no jail for drug offenders",Feb 16 2021
Explainer: Trump's acts as president are 'fair game' for criminal charges,Feb 16 2021
"Trump, Giuliani accused in lawsuit of conspiring to incite Capitol riot",Feb 16 2021
Tough migration enforcement south of border key to Biden plans,Feb 16 2021
The 'PeaceMobile' - New York City's anti-crime project on wheels,Feb 16 2021
Giuliani not currently representing Trump in legal matters - Trump spokesman,Feb 16 2021
U.S. says it will start processing certain asylum seekers on Friday,Feb 16 2021
White House says it will send 13.5 million vaccine doses a week to U.S. states,Feb 16 2021
New COVID-19 cases in U.S. fall for fifth week in a row,Feb 16 2021
